epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,47.2645,1.0289,1.41031,1.08709,0.91101,1,0.995,0.59752,1.7798,1.56437,1.30005,0.000312412,0.000312412,0.000312412
43,48.1684,1.07935,1.41122,0.98626,0.91101,1,0.995,0.59752,1.7798,1.56437,1.30005,0.00028628,0.00028628,0.00028628
44,49.1599,1.15256,1.33282,1.08352,0.91101,1,0.995,0.59752,1.7798,1.56437,1.30005,0.000258564,0.000258564,0.000258564
45,50.0538,1.09723,1.0954,1.0917,0.91101,1,0.995,0.59752,1.7798,1.56437,1.30005,0.000229264,0.000229264,0.000229264
46,50.9997,0.95218,1.36843,0.91761,0.97864,1,0.995,0.64654,1.67031,1.36292,1.23446,0.00019838,0.00019838,0.00019838
47,52.0542,1.20942,1.23672,1.039,0.97864,1,0.995,0.64654,1.67031,1.36292,1.23446,0.000165912,0.000165912,0.000165912
48,53.0345,0.90478,1.3067,0.95928,0.97864,1,0.995,0.64654,1.67031,1.36292,1.23446,0.00013186,0.00013186,0.00013186
49,53.9838,1.04561,1.39093,1.1522,0.97864,1,0.995,0.64654,1.67031,1.36292,1.23446,9.6224e-05,9.6224e-05,9.6224e-05
50,54.9504,0.94323,1.32173,0.94097,0.98085,1,0.995,0.64654,1.66065,1.30608,1.21933,5.9004e-05,5.9004e-05,5.9004e-05
1,2.97235,3.17037,17.217,2.53043,0,0,0,0,3.24565,7.29495,2.72952,2e-05,2e-05,2e-05
2,3.73306,2.99532,15.2617,2.48014,0.00167,0.5,0.00138,0.00041,3.55442,7.37113,2.45054,5.8812e-05,5.8812e-05,5.8812e-05
3,4.39359,3.05365,10.9529,2.69562,0.00167,0.5,0.00216,0.00022,3.40002,7.37298,2.36032,9.604e-05,9.604e-05,9.604e-05
4,5.08059,2.85289,18.1406,2.53849,0.00167,0.5,0.00221,0.00044,3.27504,7.26449,2.30015,0.000131684,0.000131684,0.000131684
5,5.75824,2.87843,12.2489,2.48992,0.00167,0.5,0.00227,0.00045,3.20843,6.96599,2.22406,0.000165744,0.000165744,0.000165744
6,6.46797,3.25762,21.6462,2.75358,0.00167,0.5,0.00234,0.0007,3.20269,6.96947,2.20659,0.00019822,0.00019822,0.00019822
7,7.16938,2.89332,14.3055,2.40227,0.00167,0.5,0.00257,0.00077,3.1749,6.86962,2.18446,0.000229112,0.000229112,0.000229112
8,7.89813,3.25358,23.6899,2.5724,0,0,0,0,3.21934,71.9236,2.28878,0.00025842,0.00025842,0.00025842
9,8.83905,2.80492,13.2207,2.08823,0.00548,0.5,0.00509,0.00306,2.4809,39.0458,1.98476,0.000286144,0.000286144,0.000286144
10,9.79108,2.32626,6.45205,2.00618,0.3957,0.5,0.24792,0.12396,2.37988,21.6615,2.16781,0.000312284,0.000312284,0.000312284
11,10.7236,2.75618,9.32862,1.80124,0.16803,0.5,0.09942,0.05965,2.48315,15.9776,1.75653,0.00033684,0.00033684,0.00033684
12,11.5718,2.10494,5.12194,1.76453,0.16803,0.5,0.09942,0.05965,2.48315,15.9776,1.75653,0.000359812,0.000359812,0.000359812
13,12.3952,2.46329,6.2863,1.78073,0.89204,0.5,0.49543,0.29725,2.60526,15.7661,1.82873,0.0003812,0.0003812,0.0003812
14,13.2976,2.00199,4.35984,1.55766,0.72035,0.5,0.49543,0.24776,2.33273,8.57882,1.69517,0.000401004,0.000401004,0.000401004
15,14.1539,2.00155,4.53449,1.66383,0.72035,0.5,0.49543,0.24776,2.33273,8.57882,1.69517,0.000419224,0.000419224,0.000419224
16,14.9843,2.27631,4.99555,1.74595,0.8958,0.5,0.49543,0.29725,2.30852,6.40075,1.62009,0.00043586,0.00043586,0.00043586
17,15.8823,1.93424,3.60781,1.48949,0.49195,0.5,0.49543,0.3468,1.9669,5.80183,1.44383,0.000450912,0.000450912,0.000450912
18,16.7341,1.7629,3.52865,1.45354,0.49195,0.5,0.49543,0.3468,1.9669,5.80183,1.44383,0.00046438,0.00046438,0.00046438
19,17.6225,1.84993,3.35632,1.51061,0.70748,0.5,0.49543,0.29725,1.92725,6.25853,1.40228,0.000476264,0.000476264,0.000476264
20,18.4057,2.06895,4.41044,1.55164,0.70748,0.5,0.49543,0.29725,1.92725,6.25853,1.40228,0.000486564,0.000486564,0.000486564
21,19.2325,1.77923,3.03499,1.48098,0.95758,0.5,0.49543,0.29725,1.87694,2.78349,1.32412,0.00049528,0.00049528,0.00049528
22,20.2787,1.28697,2.57351,1.12977,0.95758,0.5,0.49543,0.29725,1.87694,2.78349,1.32412,0.000502412,0.000502412,0.000502412
23,21.1622,1.60232,2.75253,1.24646,0.96579,0.5,0.49543,0.3468,1.64935,2.56145,1.28333,0.00050796,0.00050796,0.00050796
24,22.1575,1.51941,2.18882,1.20873,0.96579,0.5,0.49543,0.3468,1.64935,2.56145,1.28333,0.000511924,0.000511924,0.000511924
25,23.0467,1.71016,2.38048,1.47758,0.92893,0.5,0.62,0.32217,1.90496,2.25894,1.46003,0.000514304,0.000514304,0.000514304
26,23.8194,1.30852,1.91847,1.18638,0.92893,0.5,0.62,0.32217,1.90496,2.25894,1.46003,0.0005151,0.0005151,0.0005151
27,24.6215,1.09692,2.87838,1.09906,0.92893,0.5,0.62,0.32217,1.90496,2.25894,1.46003,0.000514312,0.000514312,0.000514312
28,25.5793,1.50317,2.22533,1.29417,1,0.98571,0.995,0.37365,2.04907,2.36337,1.5022,0.00051194,0.00051194,0.00051194
29,26.476,1.06961,2.86784,1.15792,1,0.98571,0.995,0.37365,2.04907,2.36337,1.5022,0.000507984,0.000507984,0.000507984
30,27.7585,1.13665,2.45512,1.10191,0.97793,1,0.995,0.44715,2.12407,2.40137,1.52914,0.000502444,0.000502444,0.000502444
31,28.743,1.3858,1.48594,1.219,0.97793,1,0.995,0.44715,2.12407,2.40137,1.52914,0.00049532,0.00049532,0.00049532
32,29.6686,1.50723,2.66389,1.24509,0.97793,1,0.995,0.44715,2.12407,2.40137,1.52914,0.000486612,0.000486612,0.000486612
33,30.5922,1.47843,1.54077,1.06207,0.98784,1,0.995,0.32428,2.08915,1.72595,1.52295,0.00047632,0.00047632,0.00047632
34,31.3971,0.98429,1.58408,1.02237,0.98784,1,0.995,0.32428,2.08915,1.72595,1.52295,0.000464444,0.000464444,0.000464444
35,32.2113,1.25945,1.5152,1.14272,0.98784,1,0.995,0.32428,2.08915,1.72595,1.52295,0.000450984,0.000450984,0.000450984
36,33.0459,1.13157,1.25242,1.02055,0.98686,1,0.995,0.44759,1.94358,1.50939,1.45643,0.00043594,0.00043594,0.00043594
37,33.9343,1.07602,1.1445,1.00459,0.98686,1,0.995,0.44759,1.94358,1.50939,1.45643,0.000419312,0.000419312,0.000419312
38,34.8678,1.22769,1.15365,1.02712,0.98686,1,0.995,0.44759,1.94358,1.50939,1.45643,0.0004011,0.0004011,0.0004011
39,35.7865,0.95304,0.94387,1.0411,0.65398,1,0.82833,0.41459,1.89621,2.20267,1.38476,0.000381304,0.000381304,0.000381304
40,36.7374,1.10877,1.18684,1.10022,0.65398,1,0.82833,0.41459,1.89621,2.20267,1.38476,0.000359924,0.000359924,0.000359924
41,43.5227,0.95831,2.18301,1.01671,0.65398,1,0.82833,0.41459,1.89621,2.20267,1.38476,0.00033696,0.00033696,0.00033696
42,44.4674,1.0289,1.41031,1.08709,0.91101,1,0.995,0.59752,1.7798,1.56437,1.30005,0.000312412,0.000312412,0.000312412
43,45.2986,1.07935,1.41122,0.98626,0.91101,1,0.995,0.59752,1.7798,1.56437,1.30005,0.00028628,0.00028628,0.00028628
44,46.1876,1.15256,1.33282,1.08352,0.91101,1,0.995,0.59752,1.7798,1.56437,1.30005,0.000258564,0.000258564,0.000258564
